Gmt time,Open,High,Low,Close,Volume
27.01.2017 10:00:00.000,1.31049,1.31209,1.31027,1.31123,8026479980.4688
27.01.2017 11:00:00.000,1.31121,1.31155,1.31024,1.31111,6209109863.2813
27.01.2017 12:00:00.000,1.31111,1.31212,1.31041,1.31156,6211729980.4688
27.01.2017 13:00:00.000,1.31153,1.31203,1.30940,1.30998,13556639648.4375
27.01.2017 14:00:00.000,1.30995,1.31227,1.30890,1.31167,14010740234.375
27.01.2017 15:00:00.000,1.31167,1.31250,1.31001,1.31241,11656709960.9375
27.01.2017 16:00:00.000,1.31241,1.31317,1.31056,1.31079,10489589843.75
27.01.2017 17:00:00.000,1.31079,1.31355,1.31064,1.31347,7022140136.7188
27.01.2017 18:00:00.000,1.31349,1.31446,1.31264,1.31418,6374819824.2188
27.01.2017 19:00:00.000,1.31418,1.31427,1.31305,1.31322,5038080078.125
27.01.2017 20:00:00.000,1.31326,1.31422,1.31314,1.31360,4484930175.7813
27.01.2017 21:00:00.000,1.31360,1.31536,1.31360,1.31508,3832520019.5313
29.01.2017 22:00:00.000,1.31320,1.31338,1.31223,1.31308,1141880004.8828
29.01.2017 23:00:00.000,1.31307,1.31410,1.31284,1.31296,5993450195.3125
30.01.2017 00:00:00.000,1.31296,1.31396,1.31244,1.31352,8268070312.5
30.01.2017 01:00:00.000,1.31355,1.31379,1.31254,1.31262,6946459960.9375
30.01.2017 02:00:00.000,1.31262,1.31351,1.31256,1.31272,5608620117.1875
30.01.2017 03:00:00.000,1.31272,1.31324,1.31211,1.31304,3195350097.6563
30.01.2017 04:00:00.000,1.31314,1.31324,1.31261,1.31308,4123859863.2813
30.01.2017 05:00:00.000,1.31308,1.31385,1.31294,1.31370,4694009765.625
30.01.2017 06:00:00.000,1.31370,1.31412,1.31283,1.31317,3343149902.3438
30.01.2017 07:00:00.000,1.31317,1.31438,1.31315,1.31398,5161209960.9375
30.01.2017 08:00:00.000,1.31399,1.31598,1.31398,1.31532,8620620117.1875
30.01.2017 09:00:00.000,1.31532,1.31540,1.31445,1.31473,6966680175.7813
30.01.2017 10:00:00.000,1.31473,1.31535,1.31408,1.31432,6537839843.75
30.01.2017 11:00:00.000,1.31434,1.31654,1.31410,1.31611,7888589843.75
30.01.2017 12:00:00.000,1.31610,1.31691,1.31519,1.31541,9364589843.75
30.01.2017 13:00:00.000,1.31540,1.31620,1.31197,1.31208,11635240234.375
30.01.2017 14:00:00.000,1.31208,1.31468,1.31179,1.31338,10207410156.25
30.01.2017 15:00:00.000,1.31346,1.31379,1.30825,1.30898,14394259765.625
30.01.2017 16:00:00.000,1.30898,1.30998,1.30808,1.30916,10224500000
30.01.2017 17:00:00.000,1.30915,1.31003,1.30763,1.30978,7840560058.5938
30.01.2017 18:00:00.000,1.30978,1.31238,1.30964,1.31130,7681259765.625
30.01.2017 19:00:00.000,1.31130,1.31254,1.31101,1.31151,5926640136.7188
30.01.2017 20:00:00.000,1.31152,1.31223,1.31131,1.31194,6376770019.5313
30.01.2017 21:00:00.000,1.31198,1.31201,1.31077,1.31172,3344629882.8125
30.01.2017 22:00:00.000,1.31172,1.31193,1.31105,1.31133,2952560058.5938
30.01.2017 23:00:00.000,1.31143,1.31151,1.31021,1.31033,6212569824.2188
31.01.2017 00:00:00.000,1.31031,1.31110,1.31006,1.31024,6271140136.7188
31.01.2017 01:00:00.000,1.31026,1.31069,1.30982,1.31066,5728569824.2188
31.01.2017 02:00:00.000,1.31065,1.31082,1.30967,1.30992,6193649902.3438
31.01.2017 03:00:00.000,1.30993,1.31012,1.30929,1.30953,8908570312.5
31.01.2017 04:00:00.000,1.30950,1.30968,1.30906,1.30941,6557109863.2813
31.01.2017 05:00:00.000,1.30939,1.30966,1.30903,1.30935,5516649902.3438
31.01.2017 06:00:00.000,1.30935,1.30985,1.30909,1.30983,5658560058.5938
31.01.2017 07:00:00.000,1.30981,1.31025,1.30923,1.30951,6764240234.375
31.01.2017 08:00:00.000,1.30951,1.31238,1.30951,1.31209,11309700195.3125
31.01.2017 09:00:00.000,1.31209,1.31234,1.31110,1.31144,9176730468.75
31.01.2017 10:00:00.000,1.31143,1.31201,1.31088,1.31104,8963929687.5
31.01.2017 11:00:00.000,1.31102,1.31166,1.30927,1.30934,10128780273.4375
31.01.2017 12:00:00.000,1.30934,1.30947,1.30620,1.30640,10708570312.5
31.01.2017 13:00:00.000,1.30637,1.30835,1.30353,1.30435,11188910156.25
31.01.2017 14:00:00.000,1.30435,1.30439,1.29687,1.29926,15919750000
31.01.2017 15:00:00.000,1.29924,1.30503,1.29850,1.30351,16664000000
31.01.2017 16:00:00.000,1.30351,1.30505,1.30271,1.30302,14038450195.3125
31.01.2017 17:00:00.000,1.30302,1.30485,1.30235,1.30374,9927269531.25
31.01.2017 18:00:00.000,1.30378,1.30422,1.30244,1.30285,8202889648.4375
31.01.2017 19:00:00.000,1.30285,1.30322,1.30185,1.30235,8468690429.6875
31.01.2017 20:00:00.000,1.30234,1.30267,1.30099,1.30107,8191709960.9375
31.01.2017 21:00:00.000,1.30109,1.30313,1.30109,1.30293,4888399902.3438
31.01.2017 22:00:00.000,1.30289,1.30448,1.30266,1.30418,3285879882.8125
31.01.2017 23:00:00.000,1.30416,1.30476,1.30321,1.30385,4818709960.9375
01.02.2017 00:00:00.000,1.30384,1.30715,1.30384,1.30629,7254000000
01.02.2017 01:00:00.000,1.30630,1.30745,1.30610,1.30683,6695830078.125
01.02.2017 02:00:00.000,1.30682,1.30795,1.30675,1.30794,5913120117.1875
01.02.2017 03:00:00.000,1.30791,1.30906,1.30777,1.30838,4603240234.375
01.02.2017 04:00:00.000,1.30837,1.30910,1.30825,1.30855,5272589843.75
01.02.2017 05:00:00.000,1.30854,1.30858,1.30781,1.30800,4293000000
01.02.2017 06:00:00.000,1.30801,1.30930,1.30786,1.30859,5251609863.2813
01.02.2017 07:00:00.000,1.30858,1.30905,1.30709,1.30760,8695589843.75
01.02.2017 08:00:00.000,1.30760,1.30856,1.30679,1.30692,9460690429.6875
01.02.2017 09:00:00.000,1.30690,1.30781,1.30674,1.30772,8886099609.375
01.02.2017 10:00:00.000,1.30771,1.30802,1.30563,1.30563,6580600097.6563
01.02.2017 11:00:00.000,1.30562,1.30652,1.30426,1.30449,7169819824.2188
01.02.2017 12:00:00.000,1.30449,1.30632,1.30429,1.30630,7361399902.3438
01.02.2017 13:00:00.000,1.30629,1.30922,1.30585,1.30749,12387919921.875
01.02.2017 14:00:00.000,1.30754,1.30794,1.30604,1.30684,11316669921.875
01.02.2017 15:00:00.000,1.30686,1.30945,1.30684,1.30776,15033480468.75
01.02.2017 16:00:00.000,1.30776,1.30913,1.30644,1.30884,10439410156.25
01.02.2017 17:00:00.000,1.30883,1.30968,1.30842,1.30958,7108740234.375
01.02.2017 18:00:00.000,1.30959,1.31022,1.30835,1.30862,6789819824.2188
01.02.2017 19:00:00.000,1.30880,1.30913,1.30351,1.30446,22899449218.75
01.02.2017 20:00:00.000,1.30447,1.30581,1.30415,1.30471,10632059570.3125
01.02.2017 21:00:00.000,1.30471,1.30523,1.30400,1.30492,3745739990.2344
01.02.2017 22:00:00.000,1.30492,1.30492,1.30395,1.30422,1977459960.9375
01.02.2017 23:00:00.000,1.30424,1.30518,1.30403,1.30482,6051490234.375
02.02.2017 00:00:00.000,1.30483,1.30492,1.30213,1.30240,9675650390.625
02.02.2017 01:00:00.000,1.30240,1.30259,1.30151,1.30195,6180729980.4688
02.02.2017 02:00:00.000,1.30194,1.30254,1.30139,1.30140,6687250000
02.02.2017 03:00:00.000,1.30141,1.30147,1.30029,1.30084,6556279785.1563
02.02.2017 04:00:00.000,1.30083,1.30149,1.30063,1.30134,5663709960.9375
